x,y
2888,161
2889,161
2890,135
2891,106
2892,105
2893,106
2894,135
2895,135
2896,135
2900,47
2901,47
2902,131
2903,134
2904,136
2905,137
2906,137
2907,131
2908,103
2909,48
2910,46
2911,46
2912,46
2913,46
2914,129
2915,135
2916,135
2917,137
2918,139
2919,139
2920,104
2921,104
2922,104
2923,104
2924,104
2925,130
2926,132
2927,133
2928,133
2929,133
2930,130
2931,104
2932,76
2933,48
2934,48
2935,48
2936,48
2937,104
2938,127
2939,128
2940,117
2941,45
2942,47
2943,47
2944,47
2945,47
2946,46
2947,48
2948,164
2949,128
2950,126
2951,125
2952,125
